,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cal_3,cal_3,cal_3,cal_2,cal_2,cal_2,right_foot,right_foot,right_foot,left_foot,left_foot,left_foot,left_shank,left_shank,left_shank,left_thigh,left_thigh,left_thigh,upper_trunk,upper_trunk,upper_trunk,mid_trunk,mid_trunk,mid_trunk,cal_1,cal_1,cal_1,right_thigh,right_thigh,right_thigh,lower_trunk,lower_trunk,lower_trunk,right_shank,right_shank,right_shank,right_arm,right_arm,right_arm,right_forearm,right_forearm,right_forearm,left_forearm,left_forearm,left_forearm,head,head,head,left_hand,left_hand,left_hand,right_arm,right_arm,right_arm
,,"8392B20CF49E35701F9","8392B20CF49E35701F9","8392B20CF49E35701F9","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E3570472","8392B20CF49E3570472","8392B20CF49E3570472","8392B20CF49E3570475","8392B20CF49E3570475","8392B20CF49E3570475","8392B20CF49E357047A","8392B20CF49E357047A","8392B20CF49E357047A","8392B20CF49E3570483","8392B20CF49E3570483","8392B20CF49E3570483","8392B20CF49E3570485","8392B20CF49E3570485","8392B20CF49E3570485","8392B20CF49E35704B0","8392B20CF49E35704B0","8392B20CF49E35704B0","8392B20CF49E35704B7","8392B20CF49E35704B7","8392B20CF49E35704B7","8392B20CF49E35704B9","8392B20CF49E35704B9","8392B20CF49E35704B9","8392B20CF49E35704C3","8392B20CF49E35704C3","8392B20CF49E35704C3","8392B20CF49E35704C6","8392B20CF49E35704C6","8392B20CF49E35704C6","8392B20CF49E35704C8","8392B20CF49E35704C8","8392B20CF49E35704C8","8392B20CF49E35704CA","8392B20CF49E35704CA","8392B20CF49E35704CA","8392B20CF49E35704D0","8392B20CF49E35704D0","8392B20CF49E35704D0","8392B20CF49E35704D2","8392B20CF49E35704D2","8392B20CF49E35704D2"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133333,0.010138,0.070284,0.409561,0.009921,0.070336,0.009911,0.074528,0.178073,0.851371,0.076591,0.166203,0.649580,0.068685,0.354190,0.651508,0.090761,0.716673,0.667973,0.092465,1.529861,0.747842,0.058551,1.334635,0.747491,0.310164,0.070422,0.011589,0.096393,0.732573,0.875894,0.061922,1.159941,0.732376,0.072213,0.362458,0.873371,0.144159,1.343718,0.996771,0.189158,1.064725,1.059359,0.167319,1.055486,0.487427,0.132173,1.718430,0.733622,0.156649,0.874420,0.501840,0.195544,0.862895,1.024909
17,0.141667,0.010123,0.070285,0.409560,0.009918,0.070331,0.009911,0.074526,0.178065,0.851371,0.076573,0.166200,0.649596,0.068688,0.354205,0.651514,0.090785,0.716671,0.668010,0.092569,1.529827,0.747840,0.058622,1.334633,0.747536,0.310160,0.070416,0.011587,0.096391,0.732558,0.875941,0.062001,1.159934,0.732424,0.072216,0.362452,0.873414,0.144238,1.343746,0.996803,0.189230,1.064761,1.059397,0.167371,1.055414,0.487529,0.132251,1.718422,0.733713,0.156735,0.874340,0.501981,0.195545,0.862936,1.024970
18,0.150000,0.010136,0.070269,0.409556,0.009910,0.070326,0.009906,0.074522,0.178061,0.851366,0.076575,0.166198,0.649599,0.068701,0.354219,0.651528,0.090824,0.716665,0.668044,0.092644,1.529836,0.747861,0.058691,1.334632,0.747615,0.310161,0.070414,0.011583,0.096398,0.732569,0.876019,0.062096,1.159932,0.732468,0.072213,0.362462,0.873443,0.144333,1.343788,0.996835,0.189290,1.064796,1.059440,0.167442,1.055358,0.487618,0.132312,1.718411,0.733760,0.156819,0.874267,0.502109,0.195553,0.862959,1.025036
19,0.158333,0.010130,0.070268,0.409566,0.009908,0.070328,0.009907,0.074515,0.178068,0.851363,0.076576,0.166196,0.649581,0.068723,0.354213,0.651529,0.090878,0.716653,0.668057,0.092711,1.529829,0.747885,0.058775,1.334622,0.747654,0.310161,0.070411,0.011584,0.096427,0.732566,0.876071,0.062199,1.159911,0.732489,0.072212,0.362443,0.873462,0.144420,1.343842,0.996895,0.189352,1.064835,1.059479,0.167520,1.055297,0.487693,0.132388,1.718393,0.733771,0.156919,0.874209,0.502233,0.195569,0.862959,1.025097
20,0.166667,0.010127,0.070278,0.409557,0.009905,0.070318,0.009898,0.074511,0.178062,0.851353,0.076583,0.166196,0.649578,0.068734,0.354218,0.651537,0.090926,0.716660,0.668085,0.092803,1.529812,0.747897,0.058859,1.334629,0.747702,0.310159,0.070406,0.011580,0.096454,0.732578,0.876125,0.062304,1.159904,0.732516,0.072215,0.362444,0.873466,0.144513,1.343888,0.996941,0.189425,1.064874,1.059539,0.167613,1.055254,0.487771,0.132477,1.718374,0.733740,0.157025,0.874137,0.502362,0.195578,0.862990,1.025187
21,0.175000,0.010120,0.070288,0.409557,0.009908,0.070332,0.009898,0.074510,0.178055,0.851343,0.076592,0.166194,0.649558,0.068743,0.354221,0.651525,0.090954,0.716672,0.668115,0.092860,1.529860,0.747972,0.058956,1.334620,0.747723,0.310159,0.070406,0.011577,0.096495,0.732587,0.876178,0.062409,1.159891,0.732558,0.072213,0.362445,0.873489,0.144604,1.343936,0.997002,0.189495,1.064907,1.059579,0.167690,1.055201,0.487846,0.132570,1.718359,0.733716,0.157131,0.874086,0.502487,0.195609,0.862982,1.025252
22,0.183333,0.010125,0.070278,0.409553,0.009908,0.070315,0.009899,0.074512,0.178057,0.851342,0.076595,0.166201,0.649551,0.068748,0.354230,0.651513,0.090966,0.716686,0.668154,0.092964,1.529835,0.747967,0.059041,1.334618,0.747750,0.310156,0.070406,0.011577,0.096527,0.732613,0.876233,0.062512,1.159876,0.732616,0.072216,0.362438,0.873510,0.144700,1.343983,0.997088,0.189559,1.064940,1.059625,0.167769,1.055147,0.487950,0.132675,1.718349,0.733688,0.157237,0.874030,0.502619,0.195631,0.862986,1.025323
23,0.191667,0.010121,0.070284,0.409557,0.009909,0.070328,0.009903,0.074505,0.178061,0.851336,0.076591,0.166206,0.649551,0.068732,0.354240,0.651543,0.090977,0.716697,0.668198,0.093086,1.529806,0.747956,0.059123,1.334618,0.747806,0.310151,0.070411,0.011574,0.096572,0.732599,0.876261,0.062613,1.159866,0.732702,0.072210,0.362443,0.873545,0.144809,1.344023,0.997152,0.189629,1.064973,1.059682,0.167819,1.055096,0.488063,0.132783,1.718349,0.733688,0.157328,0.873991,0.502770,0.195662,0.862981,1.025370
24,0.200000,0.010118,0.070284,0.409562,0.009898,0.070323,0.009901,0.074512,0.178057,0.851347,0.076589,0.166204,0.649569,0.068717,0.354255,0.651575,0.090967,0.716704,0.668245,0.093220,1.529759,0.747917,0.059207,1.334590,0.747842,0.310149,0.070410,0.011582,0.096590,0.732617,0.876310,0.062704,1.159851,0.732792,0.072207,0.362449,0.873571,0.144915,1.344051,0.997226,0.189698,1.064995,1.059741,0.167886,1.055035,0.488175,0.132891,1.718355,0.733662,0.157428,0.873945,0.502903,0.195702,0.862986,1.025425
25,0.208333,0.010121,0.070274,0.409559,0.009913,0.070321,0.009907,0.074499,0.178053,0.851353,0.076583,0.166208,0.649589,0.068713,0.354260,0.651619,0.090970,0.716702,0.668302,0.093331,1.529714,0.747894,0.059288,1.334576,0.747920,0.310155,0.070411,0.011581,0.096628,0.732616,0.876355,0.062788,1.159853,0.732897,0.072210,0.362466,0.873614,0.145017,1.344086,0.997279,0.189770,1.065014,1.059789,0.167959,1.054986,0.488282,0.133005,1.718369,0.733664,0.157517,0.873910,0.503022,0.195732,0.862994,1.025494
