,,R_Arm,R_Arm,R_Arm,R_Shoulder,R_Shoulder,R_Shoulder,R_Forearm,R_Forearm,R_Forearm,R_Wrist,R_Wrist,R_Wrist
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
72,0.6,0.90202,1.354127,0.962465,0.864992,1.509383,1.054922,0.780164,1.26274,0.872825,0.664449,1.268135,0.833535
73,0.608333,0.90181,1.354505,0.961739,0.8649,1.509451,1.05459,0.779695,1.26573,0.87391,0.663701,1.273447,0.836624
74,0.616667,0.901531,1.35493,0.961022,0.864862,1.509489,1.054286,0.779246,1.268589,0.87498,0.663062,1.278455,0.83954
75,0.625,0.901196,1.355182,0.96037,0.864841,1.509539,1.053887,0.778982,1.271223,0.876043,0.662685,1.283076,0.842371
76,0.633333,0.900905,1.355544,0.959801,0.8648,1.50959,1.053597,0.778975,1.273531,0.877055,0.662558,1.287376,0.845095
77,0.641667,0.900602,1.355831,0.959267,0.864687,1.509566,1.053216,0.778909,1.275663,0.87798,0.662452,1.291066,0.847633
78,0.65,0.900446,1.35621,0.958788,0.864645,1.509614,1.052976,0.778882,1.277624,0.878844,0.662662,1.294526,0.849899
79,0.658333,0.900202,1.356362,0.958285,0.864602,1.509694,1.052709,0.778917,1.279268,0.879687,0.663022,1.297417,0.852023
80,0.666667,0.900078,1.356561,0.957846,0.864592,1.509766,1.05241,0.779012,1.280649,0.880425,0.663208,1.299738,0.853973
81,0.675,0.900061,1.356758,0.957571,0.864591,1.509827,1.05222,0.779163,1.281649,0.880982,0.663723,1.301598,0.855531
82,0.683333,0.900149,1.356917,0.957393,0.864615,1.509882,1.052052,0.779298,1.282481,0.881462,0.664083,1.30295,0.856852
83,0.691667,0.900325,1.357075,0.9572,0.864671,1.509893,1.051936,0.779459,1.283024,0.881829,0.664458,1.303801,0.857984
84,0.7,0.90049,1.357137,0.957147,0.864764,1.509868,1.051853,0.779729,1.283263,0.882077,0.664968,1.304476,0.858797
85,0.708333,0.900685,1.357152,0.957168,0.864879,1.509833,1.051767,0.78014,1.283227,0.882347,0.665181,1.304606,0.859604
86,0.716667,0.901004,1.357161,0.957294,0.865017,1.509778,1.05172,0.780472,1.283198,0.882567,0.665484,1.304409,0.860195
87,0.725,0.901315,1.357085,0.957381,0.865177,1.509721,1.051687,0.78084,1.282947,0.882743,0.665843,1.30395,0.860798
88,0.733333,0.90175,1.357006,0.95751,0.865381,1.509659,1.051647,0.781307,1.282423,0.882838,0.666385,1.302997,0.861071
89,0.741667,0.902242,1.35688,0.957647,0.865719,1.509685,1.051741,0.781854,1.281732,0.882945,0.666947,1.301855,0.8612
90,0.75,0.902915,1.356717,0.957817,0.865962,1.509628,1.051774,0.782694,1.280802,0.883138,0.667538,1.300264,0.861102
91,0.758333,0.903609,1.356603,0.958325,0.866237,1.509549,1.051839,0.783391,1.279687,0.883184,0.668316,1.298369,0.860742
92,0.766667,0.904292,1.356441,0.958599,0.866562,1.509325,1.05205,0.784069,1.278492,0.883233,0.669006,1.296122,0.860305
93,0.775,0.90514,1.356091,0.959178,0.866867,1.509253,1.052165,0.785047,1.276875,0.883261,0.669924,1.293634,0.859714
94,0.783333,0.906018,1.355809,0.959677,0.867236,1.509195,1.052265,0.78595,1.275371,0.883292,0.670594,1.290868,0.859188
95,0.791667,0.906935,1.355547,0.960367,0.867614,1.509182,1.052369,0.787038,1.273681,0.883389,0.671562,1.288065,0.858529
96,0.8,0.907859,1.355286,0.960943,0.868103,1.509232,1.052709,0.788033,1.271943,0.883421,0.672517,1.284953,0.858039
97,0.808333,0.90894,1.355059,0.961529,0.868575,1.509158,1.052773,0.789353,1.270027,0.883565,0.673948,1.282015,0.857383
98,0.816667,0.909957,1.354716,0.962196,0.869101,1.508916,1.053025,0.790533,1.268295,0.883661,0.675144,1.278893,0.856965
99,0.825,0.911107,1.354303,0.96277,0.869643,1.508822,1.053231,0.791928,1.266331,0.883797,0.676655,1.27557,0.856429
100,0.833333,0.912269,1.354002,0.963305,0.870225,1.508697,1.053366,0.793548,1.264404,0.883815,0.678386,1.272445,0.855677
101,0.841667,0.913541,1.353621,0.964053,0.870831,1.508615,1.053494,0.795048,1.262368,0.883856,0.679976,1.268872,0.854996
102,0.85,0.914836,1.353149,0.964724,0.87159,1.50842,1.053823,0.796575,1.260297,0.883743,0.681858,1.265345,0.853999
103,0.858333,0.916217,1.352786,0.965498,0.872213,1.508317,1.053978,0.798309,1.258042,0.883835,0.683849,1.261555,0.852947
104,0.866667,0.917614,1.352453,0.966296,0.872946,1.508249,1.054132,0.800133,1.255654,0.883964,0.685984,1.257563,0.851803
105,0.875,0.919136,1.351991,0.967123,0.87377,1.50815,1.054643,0.802417,1.253276,0.884359,0.688031,1.25331,0.850583
106,0.883333,0.920547,1.351611,0.967867,0.874564,1.508113,1.054807,0.804402,1.250677,0.884137,0.690146,1.248903,0.84929
107,0.891667,0.922165,1.351391,0.968612,0.875443,1.508116,1.05503,0.806207,1.248137,0.883826,0.692565,1.24419,0.847854
108,0.9,0.923726,1.351135,0.969622,0.876383,1.508063,1.055451,0.808338,1.245506,0.883369,0.695182,1.239363,0.846124
109,0.908333,0.925481,1.350872,0.970579,0.877353,1.508116,1.055759,0.81048,1.242679,0.882831,0.697409,1.234239,0.844391
110,0.916667,0.927153,1.3507,0.971366,0.878431,1.508051,1.056213,0.812577,1.239617,0.88223,0.700079,1.229057,0.842367
111,0.925,0.928813,1.350481,0.972079,0.87943,1.508077,1.056396,0.814879,1.236805,0.88156,0.702959,1.223787,0.840407
112,0.933333,0.930474,1.35023,0.972903,0.880603,1.507992,1.056801,0.817218,1.233795,0.880799,0.705888,1.218514,0.838369
113,0.941667,0.932121,1.349848,0.973614,0.881706,1.50798,1.05691,0.819474,1.230777,0.879916,0.709074,1.213194,0.836372
114,0.95,0.933637,1.349556,0.974364,0.882926,1.507885,1.057347,0.821822,1.227851,0.879193,0.712383,1.207707,0.834267
115,0.958333,0.935071,1.3493,0.974804,0.884068,1.507844,1.057403,0.824337,1.224715,0.87826,0.715813,1.201968,0.831932
116,0.966667,0.936588,1.349079,0.975277,0.885278,1.50779,1.05767,0.826937,1.221593,0.877281,0.719361,1.196138,0.82952
117,0.975,0.938,1.348779,0.975902,0.886427,1.50779,1.057661,0.829527,1.218233,0.876236,0.723117,1.18993,0.826922
118,0.983333,0.939447,1.348559,0.976376,0.887697,1.507737,1.057962,0.832161,1.214844,0.875102,0.726958,1.183604,0.824302
119,0.991667,0.940871,1.34832,0.97695,0.888894,1.507733,1.057954,0.834859,1.211201,0.873724,0.731323,1.176908,0.821339
120,1,0.942452,1.348155,0.977367,0.890186,1.5077,1.058394,0.837642,1.207405,0.872231,0.735557,1.170084,0.818342
121,1.008333,0.943914,1.348022,0.977751,0.891455,1.507681,1.058467,0.840541,1.203495,0.870547,0.740347,1.162964,0.815226
122,1.016667,0.945406,1.348115,0.978089,0.892759,1.507618,1.058789,0.843541,1.19944,0.868958,0.744821,1.156153,0.812362
123,1.025,0.946903,1.348071,0.978343,0.894076,1.507542,1.058855,0.846584,1.19564,0.867331,0.749766,1.149646,0.809484
124,1.033333,0.948294,1.347923,0.97859,0.895492,1.507422,1.059076,0.849672,1.191978,0.865919,0.754774,1.143336,0.806876
125,1.041667,0.949669,1.347561,0.978842,0.896949,1.507251,1.059292,0.852758,1.188619,0.864513,0.759777,1.137363,0.804638
126,1.05,0.951068,1.347299,0.978951,0.898313,1.50712,1.059065,0.855905,1.185197,0.863252,0.765003,1.131577,0.802449
127,1.058333,0.952618,1.346914,0.979066,0.899734,1.506876,1.058991,0.859194,1.181868,0.86202,0.770369,1.125965,0.800344
128,1.066667,0.954153,1.346557,0.979187,0.901141,1.506825,1.058807,0.862565,1.178623,0.86068,0.775924,1.120281,0.798344
129,1.075,0.955823,1.346183,0.979239,0.902558,1.506623,1.058535,0.866193,1.175221,0.859423,0.781809,1.114619,0.796095
130,1.083333,0.95765,1.345757,0.979274,0.903915,1.506515,1.058257,0.869891,1.171902,0.85807,0.788001,1.10886,0.793825
131,1.091667,0.959411,1.345298,0.979296,0.905326,1.506226,1.05805,0.87364,1.168628,0.856687,0.794123,1.103216,0.791806
132,1.1,0.961064,1.34502,0.979258,0.90667,1.506046,1.057493,0.877699,1.165311,0.855403,0.800368,1.097741,0.7897
133,1.108333,0.96259,1.344508,0.979187,0.908049,1.505792,1.05729,0.881664,1.162283,0.854118,0.806771,1.092647,0.787834
134,1.116667,0.964006,1.344147,0.979086,0.909336,1.505557,1.056774,0.885942,1.15931,0.853047,0.813277,1.087863,0.78609
135,1.125,0.96531,1.34387,0.978838,0.910708,1.505254,1.056397,0.890149,1.156674,0.852069,0.819799,1.083443,0.784599
136,1.133333,0.966582,1.343473,0.978578,0.912025,1.505076,1.05577,0.894299,1.15403,0.851235,0.826143,1.07935,0.783346
137,1.141667,0.967902,1.343245,0.978204,0.913423,1.504929,1.055385,0.898544,1.151713,0.850597,0.832627,1.075526,0.78231
138,1.15,0.969436,1.342988,0.978046,0.914781,1.504738,1.05508,0.902673,1.149587,0.849984,0.839019,1.071839,0.781329
139,1.158333,0.97108,1.34277,0.977922,0.916168,1.504629,1.054599,0.90725,1.147929,0.849719,0.845344,1.068345,0.780547
140,1.166667,0.972906,1.342527,0.977952,0.917664,1.504561,1.054282,0.911499,1.14603,0.849198,0.851827,1.064959,0.779856
141,1.175,0.974915,1.342358,0.97799,0.919167,1.504442,1.054108,0.915769,1.144131,0.848816,0.858027,1.061772,0.779215
142,1.183333,0.976987,1.342203,0.978057,0.920608,1.50439,1.0537,0.920106,1.142292,0.848373,0.864442,1.058733,0.778671
143,1.191667,0.97907,1.342126,0.978122,0.922149,1.504282,1.053452,0.92445,1.140515,0.848086,0.870643,1.055814,0.778139
144,1.2,0.981138,1.342136,0.978173,0.923708,1.504391,1.053186,0.928648,1.138986,0.847603,0.876743,1.053153,0.777765
145,1.208333,0.983064,1.341931,0.978181,0.925221,1.504276,1.052931,0.932887,1.137463,0.847317,0.882725,1.050554,0.77735
146,1.216667,0.984925,1.341851,0.97813,0.926819,1.504332,1.05264,0.937036,1.135978,0.847223,0.88862,1.048094,0.777006
147,1.225,0.986675,1.341761,0.978007,0.92833,1.504147,1.052258,0.940949,1.134565,0.846881,0.894462,1.045769,0.776765
148,1.233333,0.988291,1.341664,0.977849,0.929924,1.504102,1.051893,0.945022,1.133205,0.846782,0.900228,1.043443,0.776538
149,1.241667,0.989957,1.341522,0.977565,0.931447,1.503966,1.051642,0.949065,1.132102,0.846119,0.905893,1.041126,0.776374
150,1.25,0.991701,1.341432,0.977201,0.933017,1.503845,1.051399,0.953036,1.130378,0.846354,0.911621,1.038944,0.776325
151,1.258333,0.99333,1.341272,0.976914,0.934416,1.503714,1.050884,0.957107,1.129066,0.846105,0.917251,1.036718,0.776368
152,1.266667,0.99512,1.341165,0.976679,0.935942,1.503559,1.050532,0.961258,1.127936,0.845773,0.922703,1.034633,0.776482
153,1.275,0.996968,1.34106,0.976391,0.937372,1.503518,1.050047,0.965284,1.126619,0.845753,0.928193,1.032684,0.776714
154,1.283333,0.998793,1.340957,0.976194,0.938875,1.503302,1.049758,0.969239,1.125626,0.84577,0.933465,1.030814,0.776957
155,1.291667,1.000744,1.34085,0.976128,0.94038,1.5033,1.04946,0.97308,1.124697,0.845751,0.938616,1.029123,0.777224
156,1.3,1.002679,1.340814,0.975958,0.941862,1.503137,1.049157,0.976636,1.123403,0.846246,0.943631,1.02753,0.777568
157,1.308333,1.004585,1.340701,0.975928,0.943392,1.503174,1.048937,0.980263,1.122905,0.845945,0.948498,1.02603,0.777895
158,1.316667,1.006454,1.340653,0.97593,0.94492,1.503101,1.048809,0.98366,1.122061,0.846174,0.953247,1.024673,0.778229
159,1.325,1.008278,1.340589,0.976032,0.946414,1.503107,1.048618,0.9871,1.121294,0.846306,0.957927,1.023375,0.778525
160,1.333333,1.010071,1.340585,0.97618,0.947984,1.503081,1.048524,0.99037,1.120577,0.84646,0.962532,1.022109,0.778839
161,1.341667,1.011773,1.340587,0.976317,0.94961,1.503026,1.048609,0.993719,1.119652,0.846691,0.967097,1.020882,0.779151
162,1.35,1.013434,1.340523,0.976352,0.951111,1.503011,1.048467,0.996939,1.119136,0.846661,0.971593,1.019703,0.779375
163,1.358333,1.01514,1.340498,0.976376,0.952711,1.502996,1.048468,1.00009,1.118337,0.846892,0.975896,1.018622,0.779683
164,1.366667,1.016874,1.340473,0.976387,0.954334,1.502971,1.048482,1.003326,1.117811,0.846976,0.979959,1.017587,0.77999
165,1.375,1.018474,1.340469,0.976291,0.955836,1.50292,1.048261,1.006328,1.117126,0.847113,0.984017,1.016608,0.780241
166,1.383333,1.020145,1.34043,0.976243,0.957412,1.502817,1.048204,1.009203,1.116669,0.847251,0.987839,1.015892,0.780554
167,1.391667,1.021865,1.340406,0.976098,0.958892,1.502753,1.047897,1.01204,1.116343,0.847145,0.99138,1.015128,0.780681
168,1.4,1.023564,1.340403,0.975962,0.960438,1.502651,1.047738,1.01479,1.116053,0.847063,0.994859,1.01464,0.780769
169,1.408333,1.025249,1.340208,0.975873,0.961866,1.502541,1.04741,1.017343,1.115836,0.846974,0.998038,1.014061,0.780798
170,1.416667,1.026999,1.340146,0.975711,0.963396,1.502391,1.047215,1.019908,1.116232,0.84608,1.001033,1.013695,0.780661
171,1.425,1.028645,1.340029,0.975579,0.964832,1.502179,1.046942,1.02222,1.116012,0.845897,1.003816,1.01343,0.780375
172,1.433333,1.030355,1.339973,0.975343,0.966252,1.502062,1.046605,1.02447,1.115985,0.845548,1.006349,1.013235,0.780074
173,1.441667,1.032022,1.339806,0.975104,0.96779,1.50195,1.046302,1.026545,1.115945,0.845057,1.008675,1.013113,0.779653
174,1.45,1.033628,1.339747,0.974676,0.969142,1.501836,1.045701,1.028513,1.115816,0.844594,1.010905,1.012977,0.779058
175,1.458333,1.035162,1.339653,0.974331,0.970558,1.501678,1.045313,1.030293,1.115803,0.844005,1.012926,1.012865,0.778491
176,1.466667,1.036667,1.339688,0.97379,0.97188,1.501618,1.044662,1.031958,1.115763,0.843383,1.014712,1.012768,0.777743
177,1.475,1.038063,1.339501,0.973114,0.973135,1.501536,1.043856,1.033459,1.115656,0.842627,1.016314,1.012637,0.777052
178,1.483333,1.039254,1.339419,0.972383,0.974355,1.501366,1.043074,1.034827,1.115528,0.841906,1.017598,1.012583,0.776229
179,1.491667,1.040458,1.33934,0.971392,0.975524,1.501288,1.042184,1.035875,1.115445,0.841024,1.01886,1.012461,0.775316
180,1.5,1.041459,1.339259,0.970395,0.976616,1.501219,1.041096,1.036951,1.115456,0.8399,1.0197,1.012386,0.774333
181,1.508333,1.042422,1.339202,0.969163,0.977747,1.501153,1.040106,1.037718,1.115307,0.838933,1.020391,1.012437,0.773143
182,1.516667,1.04328,1.339109,0.967865,0.978703,1.501107,1.038784,1.038419,1.115326,0.837656,1.020809,1.012469,0.771923
183,1.525,1.044109,1.339136,0.966428,0.979679,1.501131,1.03737,1.038898,1.11532,0.836236,1.021002,1.012429,0.770569
184,1.533333,1.044824,1.339098,0.964879,0.980569,1.501099,1.035936,1.039096,1.115366,0.834863,1.020831,1.012563,0.769089
