,,R_Foot,R_Foot,R_Foot,L_Foot,L_Foot,L_Foot,Lower_Trunk,Lower_Trunk,Lower_Trunk,R_Thigh,R_Thigh,R_Thigh,R_Shank,R_Shank,R_Shank,Mid_Trunk,Mid_Trunk,Mid_Trunk,L_Shank,L_Shank,L_Shank,R_Forearm,R_Forearm,R_Forearm,R_Hand,R_Hand,R_Hand,L_Hand,L_Hand,L_Hand,R_Arm,R_Arm,R_Arm,Upper_Trunk,Upper_Trunk,Upper_Trunk,Head,Head,Head,L_Forearm,L_Forearm,L_Forearm,L_Arm,L_Arm,L_Arm,L_Thigh,L_Thigh,L_Thigh
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175,0.071436,0.181798,0.858014,0.079898,0.166489,0.645795,0.05392,1.168028,0.708629,0.087632,0.728389,0.868713,0.073369,0.363568,0.871829,0.052496,1.339375,0.72674,0.073396,0.354527,0.641433,0.178344,1.053546,0.992284,0.237543,0.890057,1.004787,0.229514,0.911111,0.48226,0.111026,1.337845,0.95062,0.087376,1.531901,0.742315,0.129776,1.718885,0.708886,0.17786,1.081576,0.507995,0.113984,1.345526,0.551492,0.091787,0.717822,0.655236
22,0.183333,0.071437,0.181808,0.857998,0.079897,0.166468,0.645791,0.053914,1.168044,0.708629,0.087657,0.728406,0.868698,0.073378,0.36358,0.871823,0.052516,1.339386,0.726728,0.073404,0.354536,0.641434,0.178371,1.053572,0.992301,0.237568,0.890066,1.004771,0.229505,0.911117,0.482268,0.11106,1.337857,0.950609,0.087396,1.53191,0.742308,0.129834,1.718894,0.708846,0.177861,1.081569,0.507946,0.113986,1.345528,0.551442,0.091798,0.717831,0.65523
23,0.191667,0.071445,0.181807,0.857994,0.079909,0.166478,0.645786,0.053906,1.168046,0.708621,0.08768,0.728404,0.868693,0.073386,0.363581,0.871814,0.052544,1.339377,0.726692,0.073409,0.354531,0.641426,0.178401,1.053582,0.992289,0.237594,0.890086,1.004761,0.229492,0.911101,0.482281,0.11111,1.337843,0.950576,0.087429,1.531899,0.742262,0.129892,1.718897,0.708768,0.177844,1.081575,0.507893,0.113993,1.345544,0.551396,0.091804,0.717827,0.65523
24,0.2,0.071447,0.181812,0.858002,0.079901,0.166468,0.645793,0.053883,1.168061,0.708619,0.08771,0.728409,0.868692,0.073397,0.363598,0.871821,0.052568,1.339371,0.726644,0.073412,0.35454,0.641414,0.178434,1.053594,0.992244,0.237601,0.890083,1.004731,0.229473,0.9111,0.482295,0.111148,1.337861,0.950567,0.087449,1.531917,0.742243,0.129943,1.71891,0.7087,0.177816,1.08158,0.507865,0.114015,1.345543,0.551383,0.091809,0.717824,0.655235
25,0.208333,0.07145,0.181814,0.858012,0.079902,0.166477,0.645789,0.053865,1.168062,0.708628,0.087745,0.728397,0.86869,0.073417,0.363597,0.871818,0.052576,1.339382,0.726633,0.07342,0.354539,0.641417,0.178462,1.053619,0.992237,0.237621,0.890117,1.004713,0.229439,0.9111,0.482306,0.111193,1.337873,0.950533,0.087464,1.531928,0.74222,0.12998,1.718925,0.708654,0.177794,1.081589,0.507862,0.114009,1.345565,0.551346,0.09181,0.717824,0.65523
26,0.216667,0.071453,0.181814,0.858018,0.079907,0.16649,0.645792,0.053846,1.168068,0.708636,0.087773,0.7284,0.868689,0.073417,0.363602,0.871817,0.052586,1.339378,0.726612,0.073413,0.354541,0.641401,0.178491,1.053646,0.992201,0.237632,0.890118,1.00469,0.229406,0.911087,0.482325,0.111243,1.337898,0.950503,0.08748,1.531924,0.742186,0.130015,1.71894,0.708601,0.177797,1.08158,0.507881,0.113999,1.345594,0.551265,0.091796,0.717821,0.655228
27,0.225,0.071447,0.181816,0.858019,0.07989,0.166477,0.645809,0.053834,1.16808,0.708631,0.087803,0.728391,0.86869,0.073426,0.363609,0.871826,0.052596,1.339376,0.726585,0.073418,0.35453,0.641404,0.178529,1.053656,0.992149,0.237644,0.890122,1.004648,0.229361,0.911082,0.482329,0.111286,1.33794,0.950454,0.087493,1.531936,0.742179,0.130044,1.718963,0.708535,0.177791,1.08159,0.507917,0.114024,1.345592,0.551286,0.091778,0.717834,0.655219
28,0.233333,0.071447,0.181818,0.858025,0.079889,0.166484,0.6458,0.053833,1.168089,0.708631,0.087831,0.728389,0.868684,0.073434,0.36361,0.871817,0.052605,1.339378,0.726563,0.073417,0.354536,0.641391,0.178554,1.053692,0.992132,0.237649,0.890154,1.00464,0.229335,0.911074,0.482335,0.111335,1.338001,0.950424,0.087513,1.531941,0.742145,0.130065,1.718977,0.708503,0.177786,1.081591,0.507952,0.114033,1.345585,0.551256,0.091783,0.717839,0.655194
29,0.241667,0.071454,0.181822,0.858015,0.079898,0.166498,0.645789,0.053837,1.168092,0.708626,0.087855,0.728381,0.868679,0.07344,0.363601,0.87182,0.052616,1.33937,0.726526,0.073414,0.354527,0.641387,0.178595,1.053697,0.992082,0.237658,0.890176,1.004643,0.229286,0.911055,0.482334,0.111375,1.338023,0.950372,0.087536,1.531951,0.742125,0.13008,1.718979,0.708421,0.177773,1.081577,0.507984,0.114047,1.345581,0.551237,0.091772,0.717847,0.655175
30,0.25,0.071439,0.181826,0.858012,0.079897,0.166495,0.645796,0.053842,1.16809,0.708616,0.087866,0.728384,0.868673,0.073445,0.363606,0.871806,0.052632,1.339364,0.726485,0.073406,0.354529,0.641378,0.178611,1.053728,0.992075,0.237671,0.890198,1.00464,0.229244,0.911052,0.482343,0.111419,1.338051,0.950343,0.087553,1.531954,0.742094,0.130104,1.718983,0.708355,0.177758,1.081584,0.507988,0.114055,1.345591,0.551232,0.091784,0.717849,0.655165
31,0.258333,0.071443,0.181826,0.858003,0.079895,0.166503,0.645789,0.053863,1.168085,0.708604,0.087889,0.72839,0.868669,0.073449,0.363598,0.8718,0.052644,1.33936,0.726454,0.073388,0.354533,0.641364,0.178634,1.053767,0.992113,0.237704,0.890221,1.004638,0.229201,0.911035,0.482328,0.111453,1.33806,0.950313,0.087571,1.53195,0.742059,0.130116,1.718982,0.708299,0.17773,1.08157,0.50796,0.114072,1.345578,0.551208,0.091788,0.717853,0.655147
32,0.266667,0.071441,0.181822,0.858002,0.079894,0.16649,0.645784,0.053877,1.16809,0.708596,0.087903,0.728383,0.86866,0.07345,0.363607,0.871798,0.052653,1.339366,0.726425,0.073378,0.354537,0.641357,0.178691,1.053752,0.992023,0.237734,0.890247,1.004645,0.229155,0.911029,0.482323,0.111489,1.338062,0.950283,0.087586,1.531951,0.741992,0.130114,1.718969,0.708241,0.177692,1.081567,0.507933,0.114078,1.345602,0.551176,0.091777,0.717858,0.655128
33,0.275,0.071437,0.181823,0.858006,0.079891,0.166486,0.645787,0.053892,1.168089,0.70858,0.087911,0.728376,0.868656,0.073449,0.363617,0.871786,0.052669,1.33936,0.726396,0.073376,0.354544,0.641337,0.178732,1.053755,0.991987,0.237769,0.890254,1.004631,0.229102,0.911021,0.482291,0.111515,1.338078,0.950273,0.0876,1.531958,0.74196,0.13012,1.718977,0.708212,0.177653,1.081556,0.507873,0.114082,1.345588,0.55118,0.091788,0.717855,0.655126
34,0.283333,0.071443,0.181816,0.858001,0.079887,0.166489,0.645781,0.0539,1.168096,0.708572,0.087921,0.728383,0.868646,0.073444,0.363618,0.871785,0.052678,1.339358,0.72636,0.073384,0.354538,0.641332,0.178754,1.053795,0.992005,0.237811,0.890289,1.004647,0.229051,0.911011,0.482264,0.11155,1.338092,0.950253,0.087616,1.531953,0.741927,0.13012,1.718972,0.708147,0.177617,1.081555,0.507804,0.114086,1.345614,0.551128,0.091784,0.717861,0.655115
35,0.291667,0.071439,0.181814,0.858005,0.079889,0.166484,0.64578,0.053916,1.168095,0.708561,0.08794,0.728382,0.868643,0.073455,0.363619,0.871775,0.052687,1.339368,0.726343,0.073406,0.35454,0.641325,0.178796,1.053809,0.991997,0.237858,0.890301,1.00461,0.228997,0.911007,0.482229,0.111578,1.338104,0.950236,0.087641,1.53197,0.741901,0.130113,1.718959,0.708118,0.177581,1.081557,0.507742,0.114092,1.345631,0.551093,0.091782,0.717863,0.655087
36,0.3,0.071446,0.181813,0.858015,0.079876,0.166465,0.645793,0.053926,1.168098,0.708545,0.08795,0.728373,0.868627,0.073454,0.363624,0.871781,0.052694,1.339363,0.72631,0.073416,0.354537,0.641321,0.17883,1.053828,0.991989,0.237899,0.890319,1.004602,0.228949,0.911014,0.482188,0.11159,1.338124,0.950219,0.087646,1.531969,0.741875,0.13012,1.718944,0.708053,0.177552,1.081555,0.507697,0.114102,1.345623,0.55107,0.091794,0.717859,0.655087
37,0.308333,0.071448,0.181824,0.85801,0.079885,0.166483,0.645792,0.053951,1.168095,0.708524,0.087965,0.728388,0.868624,0.073465,0.363628,0.871774,0.052699,1.339368,0.726295,0.073429,0.354545,0.641309,0.178883,1.053815,0.991938,0.237961,0.890338,1.004558,0.228907,0.911016,0.482144,0.111622,1.338158,0.950232,0.08766,1.531976,0.741849,0.130125,1.718904,0.708059,0.177523,1.081566,0.507649,0.114119,1.345639,0.551021,0.09181,0.717857,0.65508
38,0.316667,0.07146,0.181815,0.858006,0.07989,0.16649,0.645782,0.053971,1.168107,0.708503,0.08799,0.728389,0.868611,0.073473,0.363632,0.871768,0.052698,1.339372,0.726251,0.073426,0.354555,0.641312,0.178933,1.053824,0.99191,0.238015,0.890361,1.004542,0.228877,0.911015,0.482104,0.111659,1.338154,0.950203,0.087673,1.531977,0.741821,0.130119,1.718876,0.70802,0.177533,1.081562,0.507633,0.114125,1.345652,0.550939,0.091828,0.717871,0.655061
39,0.325,0.071454,0.181822,0.858004,0.079883,0.166484,0.645779,0.054004,1.168101,0.708479,0.088009,0.728399,0.868589,0.073484,0.363634,0.871764,0.052695,1.339373,0.726216,0.073427,0.354552,0.641308,0.178982,1.053853,0.991933,0.238068,0.890385,1.004527,0.228846,0.911019,0.482063,0.111692,1.33817,0.950191,0.087685,1.531981,0.741799,0.13012,1.718842,0.707944,0.17753,1.081575,0.507622,0.114149,1.34566,0.550907,0.091869,0.717867,0.655062
